Parent SKU,Component SKU,Quantity,Notes
FG-SYR-VAN,RAW-SUG-001,0.8,Standard Recipe
FG-SYR-VAN,RAW-WAT-FIL,0.5,Standard Recipe
FG-SYR-VAN,RAW-VAN-EXT,0.02,Standard Recipe
FG-SYR-VAN,PKG-BTL-GLS-750,1.0,Standard Recipe
FG-SYR-VAN,PKG-CAP-BLK,1.0,Standard Recipe
FG-SYR-VAN,PKG-LAB-VAN,1.0,Standard Recipe
FG-SYR-HAZ,RAW-SUG-001,0.75,Standard Recipe
FG-SYR-HAZ,RAW-WAT-FIL,0.55,Standard Recipe
FG-SYR-HAZ,RAW-HAZ-EXT,0.025,Standard Recipe
FG-SYR-HAZ,PKG-BTL-GLS-750,1.0,Standard Recipe
FG-SYR-HAZ,PKG-CAP-WHT,1.0,Standard Recipe
FG-SYR-HAZ,PKG-LAB-HAZ,1.0,Standard Recipe
FG-SAU-COC,RAW-SUG-001,0.5,Standard Recipe
FG-SAU-COC,RAW-COC-POW,0.15,Standard Recipe
FG-SAU-COC,RAW-GLU-SYR,0.2,Standard Recipe
FG-SAU-COC,PKG-BTL-PET-1L,1.0,Standard Recipe
FG-SAU-COC,PKG-CAP-BLK,1.0,Standard Recipe
FG-SAU-COC,PKG-LAB-GEN,1.0,Standard Recipe
FG-SAU-CAR,RAW-SUG-BRN,0.6,Standard Recipe
FG-SAU-CAR,RAW-GLU-SYR,0.2,Standard Recipe
FG-SAU-CAR,RAW-MLK-POW,0.1,Standard Recipe
FG-SAU-CAR,RAW-CAR-FLV,0.02,Standard Recipe
FG-SAU-CAR,PKG-BTL-PET-1L,1.0,Standard Recipe
FG-SAU-CAR,PKG-CAP-BLK,1.0,Standard Recipe
FG-SAU-CAR,PKG-LAB-GEN,1.0,Standard Recipe
FG-CON-LEM,RAW-TEA-BLK,0.1,Standard Recipe
FG-CON-LEM,RAW-ACD-CIT,0.05,Standard Recipe
FG-CON-LEM,RAW-SUG-001,0.4,Standard Recipe
FG-CON-LEM,PKG-BTL-PET-1L,1.0,Standard Recipe
FG-CON-LEM,PKG-CAP-WHT,1.0,Standard Recipe
FG-CON-LEM,PKG-LAB-GEN,1.0,Standard Recipe
